maturity,spot_rate,forward_rate
1.0,0.04122469271363895,0.042875205356574526
1.5,0.04189886198672529,0.043570640213790146
2.0,0.0423854097302667,0.044118252270987396
2.5,0.04279195994614066,0.044736813918916415
3.0,0.04317538376841225,0.04546797305643582
3.5,0.04356276364205808,0.046329175832062
4.0,0.04396953997204048,0.047326383137972945
4.5,0.04440342853174832,0.04843946972880046
5.0,0.04486623898456363,0.049634099525453515
5.5,0.045355829355452654,0.05087412735362306
6.0,0.04586792542072691,0.052127673063781695
6.5,0.04639731648642968,0.05336836081109534
7.0,0.046938610395040097,0.05457554163961349
7.5,0.04748668538575674,0.05573498067874831
8.0,0.04803692550281669,0.05683552166947041
8.5,0.04858524013493607,0.057869432582685135
9.0,0.049128100759166383,0.05883182433922145
9.5,0.04966252484561191,0.05972002258610849
10.0,0.05018604614345725,0.060533478354339885
10.5,0.050696684955180045,0.06127327318809895
11.0,0.051192877166408114,0.06194055326636641
11.5,0.05167337616961214,0.06253630102830539
12.0,0.052137178648364514,0.06306122182904964
12.5,0.05258346901910004,0.06351603411740255
13.0,0.05301158749190561,0.06390158507851455
13.5,0.05342100191576031,0.0642186698368418
14.0,0.053811301736090666,0.06446927254730392
14.5,0.054182219691886795,0.06465619802465979
15.0,0.05453361912522862,0.06478231062007483
15.5,0.054865473504243055,0.06485049608945347
16.0,0.05517785554711169,0.06486412861716126
16.5,0.05547094044912201,0.06482706228006743
17.0,0.05574500227409659,0.06474377994693518
17.5,0.05600043071528658,0.064619948417869
18.0,0.05623773441058537,0.06446145686056819
18.5,0.056457518278797254,0.06427352798126268
19.0,0.05666045423469467,0.06406081133055802
19.5,0.05684724681991387,0.06382657567992592
20.0,0.057018603855375716,0.063573495742221
20.5,0.057175215859372075,0.06330311279563912
21.0,0.0573177371787664,0.06301645720941274
21.5,0.05744677924827715,0.06271397557759556
22.0,0.05756289724253874,0.06239519197075455
22.5,0.05766658284080444,0.06205941702023446
23.0,0.05775826915734018,0.06170580932586882
23.5,0.057838328029526875,0.061332914280725195
24.0,0.05790706754233208,0.060939115196818924
24.5,0.05796473746249631,0.06052277807283084
25.0,0.058011534390519974,0.06008220314890335
25.5,0.058047605875041076,0.059615731305471036
26.0,0.05807306072156555,0.05912218562535283
26.5,0.058087980050051814,0.0586006978605874
27.0,0.058092429202800284,0.058051081221715914
27.5,0.058086467741933795,0.057473339264367554
28.0,0.05807015416799203,0.05686794414588653
28.5,0.05804355611542144,0.05623579310710682
29.0,0.05800675195096458,0.05557783142705428
29.5,0.05795983307377936,0.05489524160839861
30.0,0.057902905789832475,0.05418939104449016
30.5,0.05783609179614569,0.05346153881444989
31.0,0.05775952356341388,0.05271279432284482
31.5,0.05767334247998112,0.051944195458669754
32.0,0.05757769501869923,0.05115648463765014
32.5,0.05747272918289409,0.050350327938646335
33.0,0.057358594098095496,0.049526391440421834
33.5,0.057235439928290645,0.04868534122174004
34.0,0.05710341759834409,0.04782778786857436
34.5,0.05696267646843075,0.04695411068256229
35.0,0.056813362139905337,0.04606462871910199
35.5,0.05665561651208118,0.04515966529728655
36.0,0.05648957866053715,0.04423965491677283
36.5,0.056315387000493586,0.0433051510704288
37.0,0.05613318001330751,0.04235671307975382
37.5,0.055943096262606844,0.041394906652705704
38.0,0.055745275233657764,0.04042045532556755
38.5,0.0555398598867209,0.03943424679101647
39.0,0.055326997316914615,0.038437176394414074
39.5,0.05510683854719997,0.03743015304281505
40.0,0.05487953876398488,0.03641414263274379
